# SIMULACION DE DATOS
# Numero de anos actual
56
# Numero de edades 
3
# Numero de clases de talla 
30
#nper  
10
# MATRIZ DE DATOS HISTORICOS 
#Yr Desemb cv_Desemb CPUEI cv_CPUEI CPUEA cv_CPUEA Bcruc cv_Bcruc Mpdh cv_Mpdh nm_flota nm_cruc
 1.31044e-05 9.37221e-05 0.000588227 0.00323976 0.0156569 0.0663748 0.246676 0.802501 2.27877 5.61858 11.9285 21.5469 32.629 40.8228 41.9029 35.7164 25.7782 14.0595 2.26747 1.35945e-05 0.000148164 0.000447571 0.000764983 0.000881918 0.00094323 0.00116418 0.000698356 0.000176514 2.83547e-06 1.42838e-06
 4.98428e-05 0.000356472 0.00223732 0.0123223 0.0595486 0.252426 0.937911 3.04959 8.64871 21.269 44.9325 80.4661 120.104 146.493 142.69 107.601 59.3563 20.5035 1.90724 7.0874e-06 5.61287e-05 0.000143489 0.000240254 0.000373348 0.000842306 0.00168249 0.00139153 0.000494087 5.14191e-06 2.59028e-06
 6.25548e-05 0.000447388 0.00280794 0.0154652 0.0747391 0.316847 1.17756 3.83109 10.8799 26.8317 56.9861 102.973 155.8 193.526 192.646 148.725 84.0574 29.8166 2.86182 1.09932e-05 8.92988e-05 0.000227777 0.000350765 0.000362386 0.000301739 0.000280237 0.000422339 0.000372521 6.90337e-06 3.47763e-06
 1.72659e-05 0.000123484 0.000775024 0.00426859 0.020629 0.0874546 0.325029 1.05751 3.00352 7.40885 15.7422 28.4721 43.1733 53.9708 54.825 44.9867 29.7227 14.2928 2.07114 1.16803e-05 0.000123905 0.000371056 0.000633353 0.000714995 0.000668262 0.000668683 0.000366894 0.000203656 3.00755e-06 1.51507e-06
 3.68765e-05 0.000263738 0.00165529 0.00911662 0.0440553 0.186731 0.693626 2.25377 6.38189 15.6445 32.8552 58.2628 85.7314 102.747 98.4446 73.8466 41.8323 15.8246 1.75274 8.08745e-06 7.65979e-05 0.000218489 0.000380379 0.000546435 0.00104821 0.00197119 0.00145766 0.000419942 3.92297e-06 1.97623e-06
 4.28853e-05 0.000306713 0.00192502 0.0106024 0.0512386 0.217221 0.807316 2.62667 7.46037 18.4031 39.1032 70.7145 107.116 133.24 132.776 102.408 57.4795 19.9699 1.83408 6.59198e-06 4.98771e-05 0.000119629 0.000175105 0.000178491 0.000176576 0.000225065 0.000312977 0.000229269 4.66033e-06 2.34768e-06
 2.27022e-05 0.000162365 0.00101905 0.0056126 0.0271242 0.114991 0.427368 1.39047 3.9492 9.74153 20.6981 37.4311 56.7241 70.7272 71.159 56.6588 34.7498 14.691 1.85047 9.4581e-06 9.52917e-05 0.000278916 0.000471663 0.000525463 0.000457258 0.000392696 0.00022071 0.000156474 3.22584e-06 1.62504e-06
 4.26532e-05 0.000305053 0.0019146 0.010545 0.0509615 0.216048 0.802971 2.61266 7.42135 18.3109 38.9235 70.4403 106.823 133.107 133.01 103.119 58.5372 20.8624 2.01397 7.79866e-06 6.42041e-05 0.000167959 0.000274228 0.000341481 0.000489548 0.0007858 0.00053669 0.000140814 5.03703e-06 2.53745e-06
 2.15662e-05 0.00015424 0.000968056 0.00533173 0.0257666 0.109232 0.405938 1.32051 3.74898 9.23985 19.6012 35.3531 53.3673 66.2395 66.4556 53.1883 33.4362 14.8918 2.00003 1.07445e-05 0.000111348 0.000330822 0.000565669 0.000644975 0.000615231 0.000650144 0.000610955 0.000333909 3.29573e-06 1.66025e-06
 4.34993e-05 0.000311104 0.00195258 0.0107542 0.0519717 0.220324 0.818799 2.66364 7.56278 18.6425 39.5593 71.3778 107.753 133.436 132.341 101.763 57.2885 20.2437 1.93622 7.42462e-06 6.04954e-05 0.000156679 0.000254109 0.000323743 0.000509894 0.000877966 0.000658798 0.000283047 4.89748e-06 2.46715e-06
