#SIMULACION DE DATOS
#Numero de anos actual
50
#Numero de edades
5
#Numero de tallas
26
#Datos observados
#Yr Reclas cv_reclas Pelaces cv_pelaces Mpdh cv_mpdh Desemb cv_desemb  
 497907 718920 765989 193408 8014
 1.31613e+06 40170 276 0 0
 403430 1000 132 0 0
 80379 88474 9865 1820 0
 306761 30364 2601 311 0
 0 0 0 0 0
 87057 47760 14367 434 50
 122961 13481 18801 5866 69
 190610 16449 5970 2486 0
 57235 26572 25262 733 0
 42741 7049 18059 1445 0
# Pelaces age simulados
 66251 4698.74 1857.29 1886.72 496.403
 65569 20651.6 1361.21 531.061 538.148
 52852 20065.7 5887.17 383.067 149.083
 58488.1 16005.4 5652.36 1636.95 106.251
 21954.8 17236.4 4384.24 1528.24 441.498
 36169.4 6794.94 4956.56 1244.35 432.682
 31205.3 10482.3 1832.18 1319.25 330.386
 140441 10424.9 3254.73 561.489 403.302
 53303.9 45430.1 3154.95 972.652 167.388
 31127.7 16792 13348.5 915.198 281.458
 55861.2 9970.74 5014.11 3934.95 269.125
 26810.2 16115.8 2679.23 1330.08 1041.25
 93277.5 8518.79 4753.44 779.917 386.227
 49635.9 28502.9 2427.52 1337.28 218.876
 83625.9 15008 8014.38 673.737 370.238
 168011 28277.4 4727.79 2492.25 208.999
 75826 55576.1 8756.34 1445.71 760.246
 122000 25125 17207.8 2676.97 440.897
 133453 40982 7891.26 5336.61 828.174
 131288 44711.9 12844.8 2442.3 1647.62
#Pelaces length historico
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
