#SIMULACION DE DATOS
#Numero de anos actual
44
#Numero de edades
5
#Numero de tallas
36
#Datos observados
#Yr Reclas cv_reclas Pelaces cv_pelaces Mpdh cv_mpdh Desemb cv_desemb  
#Pelaces age historico
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 50553 53229 8507 33 0
 0 0 0 0 0
 52563 42120 18195 630 0
 13031 8978 2074 525 0
 11241 6474 73 0 0
 12369 4181 258 5 0
 4733 1913 156 0 0
 2397 5279 1002 14 0
 0 0 0 0 0
 63285 4406 2645 283 0
 41619 7513 2640 2 0
 48218 15199 1736 52 3
 111520 12814 2592 18 0
 59018 23379 2420 141 0
# Pelaces age simulados
 16912.6 12411.8 3766.53 775.69 217.322
 19842.7 11174 4202.53 1235.73 253.919
 14248.3 12673.2 3631.47 1327.16 389.464
 14907 8631.74 3797.9 1052.45 383.734
 5668.95 9248.19 2653.83 1125.06 310.95
 8830.96 3726.88 3101.22 860.966 364.135
 8118.12 5221.23 1084.11 874.042 242.127
 32381.9 4966.65 1567.24 312.712 251.406
 13187.5 20655.7 1591.91 484.956 96.5214
 7319.16 8744.67 7043.19 526.546 160.059
 13108.6 4930.27 3067.91 2405.97 179.53
 6911.38 7845.54 1464.62 885.079 692.725
 21827.4 4176.21 2317.92 416.07 250.737
 12333.3 13017.3 1213.53 648.101 116.02
 19631.1 6709.21 3310.3 295.702 157.456
 37385.4 12484.7 2100.99 990.526 88.1905
 17511 24765.5 4251.37 694.019 326.493
 27769.4 11590.3 8472.12 1415.17 230.575
 30605.8 19188.2 4214.68 3001.49 500.43
 30326.8 21188.5 7045.36 1513.39 1076.07
#Pelaces length historico
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
